netlist, abcNplb, abcLev, vprDelay, vprAreaClb, vprAreaRouting, vprNclb, channelWidth, vprtime
bnn, 0, 0, 10.543400, 7.2152e+08, 1.29284e+08, 12926, 0,1330.080000
reduction_layer, 0, 0, 7.432050, 7.90307e+07, 1.33552e+07, 1141, 0,111.930000
sha, 0, 0, 11.189300, 1.0186e+07, 2.04721e+06, 189, 0,10.750000
conv_layer_hls, 0, 0, 9.876770, 1.22463e+08, 8.04889e+07, 2044, 0,194.200000
mcml, 0, 0, 59.534300, 6.69536e+08, 9.32071e+07, 9396, 0,943.530000
clstm_like, 0, 0, 9.756890, 1.19771e+09, 1.68733e+08, 17023, 0,1763.350000
spmv, 0, 0, 7.374900, 1.67273e+08, 7.73793e+07, 652, 0,222.890000
stereovision1, 0, 0, 5.123680, 8.78655e+07, 1.39794e+07, 1307, 0,94.100000
or1200, 0, 0, 19.199100, 1.92255e+07, 4.86480e+06, 307, 0,26.690000
conv_layer, 0, 0, 7.176360, 1.56397e+08, 2.19511e+07, 2000, 0,181.860000
eltwise_layer, 0, 0, 5.162420, 8.33833e+07, 1.33552e+07, 1137, 0,99.810000
mkDelayWorker32B, 0, 0, 7.009120, 5.22725e+07, 1.74485e+07, 492, 0,39.700000
mkPktMerge, 0, 0, 3.991900, 9.94461e+06, 5.20312e+06, 32, 0,13.130000
mkSMAdapter4B, 0, 0, 4.475110, 1.23331e+07, 2.55731e+06, 178, 0,10.900000
stereovision2, 0, 0, 16.060300, 4.59708e+08, 1.07015e+08, 5246, 0,608.140000
dla_like, 0, 0, 10.376700, 9.81348e+08, 1.57727e+08, 12104, 0,1285.990000
stereovision3, 0, 0, 1.996940, 1.02399e+06, 234035., 19, 0,0.970000
LU8PEEng, 0, 0, 70.828700, 1.58297e+08, 2.44543e+07, 2431, 0,206.120000
raygentop, 0, 0, 4.877340, 1.22409e+07, 3.14668e+06, 161, 0,15.120000
blob_merge, 0, 0, 9.387210, 3.40071e+07, 6.45840e+06, 631, 0,33.110000
tpu_like, 0, 0, 9.254370, 9.65166e+08, 2.61635e+08, 9929, 0,1070.210000
arm_core, 0, 0, 17.320500, 7.99823e+07, 1.27530e+07, 1240, 0,99.580000
bgm, 0, 0, 15.030400, 1.67816e+08, 3.07281e+07, 3033, 0,229.500000
LU32PEEng, 0, 0, 0.000000, 0, 0, 8225, 0,1295.740000
stereovision0, 0, 0, 2.739160, 6.96863e+07, 1.33552e+07, 1293, 0,47.310000
tiny_darknet_like, 0, 0, 15.698900, 1.77294e+09, 7.99975e+08, 9704, 0,2679.490000
softmax, 0, 0, 5.012250, 4.77506e+07, 9.29080e+06, 886, 0,59.620000
spree, 0, 0, 8.674090, 6.29763e+06, 1.19140e+06, 79, 0,5.960000
lstm, 0, 0, 13.632300, 8.22715e+08, 1.08770e+08, 10888, 0,1458.920000
robot_rl, 0, 0, 12.126200, 1.32116e+08, 1.88128e+07, 1831, 0,148.080000
boundtop, 0, 0, 2.044090, 4.74267e+06, 983608., 88, 0,2.650000
attention_layer, 0, 0, 7.855340, 2.13672e+08, 3.26182e+07, 2194, 0,218.770000
maxChannelWidth,0