netlist, abcNplb, abcLev, vprDelay, vprAreaClb, vprAreaRouting, vprNclb,vprtime
arm_core, 11477, 21, 16.760000, 7.84732e+07, 1.27530e+07, 1212, 97.230000
bgm, 29786, 19, 15.835400, 1.77462e+08, 3.26182e+07, 3212, 153.330000
blob_merge, 5090, 16, 8.794950, 3.17436e+07, 6.45840e+06, 589, 29.770000
boundtop, 314, 2, 1.983200, 4.74267e+06, 983608., 88, 6.810000
LU32PEEng, 84294, 109, 0.000000, 0, 0, 8599, 585.260000
LU8PEEng, 24080, 109, 70.655900, 1.60345e+08, 2.52044e+07, 2469, 182.220000
mcml, 86581, 63, 63.200900, 6.43346e+08, 8.83568e+07, 8910, 360.780000
mkDelayWorker32B, 1716, 5, 7.753590, 5.22725e+07, 1.74485e+07, 492, 44.570000
mkPktMerge, 352, 1, 4.532830, 9.94461e+06, 5.20312e+06, 32, 20.850000
mkSMAdapter4B, 1316, 6, 5.129310, 1.29799e+07, 2.55731e+06, 190, 14.180000
or1200, 2655, 23, 18.784700, 1.85248e+07, 4.86480e+06, 294, 26.700000
raygentop, 1857, 7, 0.000000, 0, 0, 155, 20.860000
sha, 1751, 17, 11.410300, 9.59313e+06, 2.04721e+06, 178, 5.210000
spree, 749, 13, 9.844690, 6.35152e+06, 1.19140e+06, 80, 11.550000
stereovision0, 12258, 4, 2.882440, 6.83928e+07, 1.27530e+07, 1269, 47.020000
stereovision1, 12725, 6, 5.205590, 8.08051e+07, 1.21550e+07, 1176, 78.680000
stereovision2, 50034, 15, 17.193600, 4.37183e+08, 1.07015e+08, 4828, 342.600000
stereovision3, 166, 3, 1.905030, 916198, 234035., 17, 4.240000